time,latitude,longitude,depth,mag,net,id
14580,38.49233333,-112.8966667,2.56,0.81,uu,uu80072331
14560,39.4545,-120.2735,14.5,0.7,nn,nn00878979
14540,-53.8577,-133.9892,10,6.2,us,us7000mrbr
14520,-54.4782,-133.0935,10,5.3,us,us7000mrbq
14500,38.82849884,-122.8550034,2.529999971,1.07,nc,nc75019677
14480,19.32616615,-155.2101593,4.190000057,1.80999994,hv,hv74269516
14460,36.9655,-121.6133333,4.42,3.18,nc,nc75019667
14440,33.885,-116.86,13.66,0.78,ci,ci40617871
14420,38.80450058,-122.7949982,3.470000029,1.08,nc,nc75019662
14400,28.706,-98.97,4.3351,1.7,tx,tx2024lhat
14380,17.4555,-61.874,63.555,4.2,us,us7000mrbe
14360,38.8176651,-122.8241653,2.359999895,1.08,nc,nc75019647
14340,60.0898,-152.8392,116.5,2,ak,ak0247eehpic
14320,38.81783295,-122.8239975,2.25,1.09,nc,nc75019642
14300,38.8156662,-122.8170013,1.919999957,0.75,nc,nc75019637
14280,62.5815,-151.326,82.3,1.6,ak,ak0247eeflyk
14260,37.0907,-117.3764,4,0.3,nn,nn00878906
14240,63.4802,-148.7527,9.3,1.3,ak,ak0247eedvf7
14220,31.651,-104.118,1.8958,2.4,tx,tx2024lgyx
14200,51.7395,-178.8371667,13.19,0.95,av,av93156721
14180,38.82466507,-122.8293304,2.180000067,0.74,nc,nc75019632
14160,18.9275,-66.439,14.65,3.01,pr,pr71451908
14140,19.73950005,-155.8455048,25.87999916,2.58999991,hv,hv74269471
14120,44.77416667,-111.0193333,10.38,1.01,uu,uu80072296
14100,37.81916667,-113.1188333,7.3,2.4,uu,uu80072286
14080,35.79700089,-120.7343369,9.720000267,0.73,nc,nc75019617
14060,38.48833333,-112.8971667,2.69,0.47,uu,uu80072276
14040,18.24633333,-67.17816667,101.24,3.11,pr,pr71451903
14020,63.0953,-151.3434,0,1.4,ak,ak0247edzfx7
14000,36.9679985,-121.6090012,2.519999981,1.2,nc,nc75019612
13980,38.8073349,-122.8271637,1.190000057,0.75,nc,nc75019607
13960,38.81066513,-122.8205032,2.75,1.32,nc,nc75019602
13940,36.53883333,-98.95516667,7.59,1.29,ok,ok2024lgxc
13920,19.26866722,-155.3713379,30.36000061,1.95000005,hv,hv74269406
13900,31.543,-104.174,3.4924,1.8,tx,tx2024lgwf
13880,38.82633209,-122.8095016,1.600000024,1.22,nc,nc75019577
13860,37.82416667,-113.1176667,6.18,2.9,uu,uu80072251
13840,37.82233333,-113.1116667,6.51,2.55,uu,uu80072241
13820,38.82616806,-122.8101654,1.470000029,0.62,nc,nc75019572
13800,38.82183456,-122.7858353,1.919999957,1.09,nc,nc75019562
13780,26.6433,127.8145,45.483,4.4,us,us7000mrar
13760,28.812,-99.02,7.2185,1.8,tx,tx2024lgut
13740,37.82233333,-113.1171667,5.94,2.27,uu,uu80072221
13720,-64.0119,-168.9501,10,4.5,us,us7000mram
13700,63.0384,-146.1093,10,2.2,ak,ak0247ed8ena
13680,62.2551,-149.2985,30.5,1.5,ak,ak0247ed89wv
13660,38.82466507,-122.8538361,2.339999914,0.71,nc,nc75019552
13640,38.83216476,-122.8066635,2.049999952,0.69,nc,nc75019547
13620,38.80649948,-122.8218307,2.170000076,0.47,nc,nc75019542
13600,38.80566788,-122.8191681,1.639999986,2.29,nc,nc75019537
13580,33.9955,-116.9961667,16.85,1.22,ci,ci40617847
13560,38.78649902,-122.7708359,0.939999998,1.28,nc,nc75019522
13540,76.6614,7.648,10,4.6,us,us7000mraf
13520,38.80233383,-122.809166,0.409999996,1.31,nc,nc75019517
13500,19.29716682,-155.2146606,3.559999943,2.09,hv,hv74269346
13480,38.80433273,-122.8130035,0.899999976,0.97,nc,nc75019507
13460,63.2594,-150.4401,46.9,1.4,ak,ak0247ecnw3v
13440,60.8345,-150.818,19.5,1.8,ak,ak0247ecnhc1
13420,38.81433487,-122.8216629,3.039999962,0.59,nc,nc75019497
13400,38.8144989,-122.8219986,3.019999981,1.52,nc,nc75019492
13380,38.81716537,-122.8251648,2.099999905,1.41,nc,nc75019472
13360,38.8176651,-122.8246689,2.25999999,0.44,nc,nc75019467
13340,-24.2312,-67.1439,163.508,4.2,us,us7000mrad
13320,19.7511673,-155.8448334,9.630000114,2.01,hv,hv74269306
13300,38.81283188,-122.8274994,2.910000086,0.75,nc,nc75019447
13280,36.61166763,-121.1693344,3.279999971,1.16,nc,nc75019442
13260,32.6976667,-115.3781667,14.49,1.66,ci,ci40617831
13240,27.396,93.136,45.851,4.2,us,us7000mrac
13220,33.3418333,-116.2033333,11.2,1.29,ci,ci40617823
13200,38.82049942,-122.8236694,2.900000095,0.76,nc,nc75019432
13180,33.0343333,-116.0103333,7.82,1.14,ci,ci40617815
13160,36.047,-97.20116667,6.23,1.95,ok,ok2024lgrf
13140,28.899,-98.959,6.9954,1.9,tx,tx2024lgrf
13120,63.0849,-151.3637,0,1.7,ak,ak0247ec1g7q
13100,18.187,-67.0375,22.38,2.3,pr,pr71451873
13080,38.8168335,-122.822998,2.779999971,1.17,nc,nc75019427
13060,53.481,-163.4975,26,3.5,ak,ak0247ec0hnz
13040,33.7085,-116.8125,16.09,0.38,ci,ci40617799
13020,38.81633377,-122.8263321,3.099999905,0.44,nc,nc75019407
13000,33.5356667,-116.7256667,4.62,0.37,ci,ci40617791
12980,60.214,-152.7087,110.2,2,ak,ak0247ebmjf1
12960,38.8219986,-122.7776642,0.620000005,0.77,nc,nc75019402
12940,38.80783463,-122.8209991,-0.610000014,0.72,nc,nc75019397
12920,39.57149887,-120.3724976,-0.670000017,2.27,nc,nc75019392
12900,38.78699875,-122.7669983,2.5,0.53,nc,nc75019387
12880,38.80950165,-122.8188324,3.5,0.82,nc,nc75019382
12860,38.047,36.376,10,4.3,us,us7000mr9v
12840,32.8265,-115.604,13.58,1.78,ci,ci40617783
12820,38.81999969,-122.8235016,2.220000029,0.79,nc,nc75019377
12800,38.82049942,-122.8208313,2.309999943,0.76,nc,nc75019372
12780,38.80216599,-122.80867,0.409999996,0.99,nc,nc75019367
12760,38.80149841,-122.8088303,-0.629999995,1.23,nc,nc75019362
12740,28.925,-98.977,2.3926,2.2,tx,tx2024lgpa
12720,19.047,-66.74916667,37.28,3.24,pr,pr71451863
12700,38.81916809,-122.8239975,3.00999999,0.79,nc,nc75019352
12680,17.7741,-68.0695,54,3.79,pr,pr2024161000
12660,32.83,-115.61,13.56,1.4,ci,ci40617775
12640,38.80316544,-122.8186646,3.230000019,0.92,nc,nc75019347
12620,38.81516647,-122.8271637,2.140000105,0.93,nc,nc75019342
12600,63.0675,-151.4922,1.9,1.8,ak,ak0247eazoeo
12580,35.9675,-117.6541667,3.69,1.64,ci,ci40617767
12560,38.8116684,-122.8263321,2.75,0.99,nc,nc75019327
12540,37.82533333,-113.0571667,2.96,2.5,uu,uu80072066
12520,38.7298,-97.6033,5,2.2,us,us7000mr9g
12500,38.8081665,-122.821167,2.480000019,1.08,nc,nc75019322
12480,38.82699966,-122.831337,2.079999924,0.63,nc,nc75019317
12460,31.663,-104.362,3.7333,1.8,tx,tx2024lgmm
12440,38.82083511,-122.8288345,0.670000017,0.75,nc,nc75019307
12420,38.80433273,-122.8188324,3.029999971,0.75,nc,nc75019297
12400,35.997,-117.3516667,2.69,2.06,ci,ci40617751
12380,38.81233215,-122.8231659,3.200000048,0.75,nc,nc75019287
12360,44.77716667,-111.0178333,9.01,0.7,uu,uu80072041
12340,33.2206667,-115.565,2.93,1.84,ci,ci40617735
12320,4.849,126.119,94.303,4.7,us,us7000mr98
12300,38.79483414,-122.774498,3.289999962,1.28,nc,nc75019272
